2.000000000000000000e+06 0.000000000000000000e+00 8.329999999999999627e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.371071056406436561e-02 1.219528455687741708e+00 1.317406913973475202e+00
2.000000000000000000e+06 5.340714993228623644e+04 8.329999999999999627e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.368180740437563436e-02 1.219591904144461614e+00 1.317262894073933710e+00
1.997653443245410686e+06 1.068142998645724729e+05 8.329999999999999627e-01 1.658966721979799689e-05 1.219158770663098318e-05 1.367058258180275931e-02 1.219616545858323242e+00 1.317206964664112245e+00
1.993673527895161649e+06 1.600748940555779263e+05 8.329999999999999627e-01 4.473406330686233851e-05 3.288088494018604120e-05 1.365456301797662864e-02 1.219651714270544751e+00 1.317127146766932100e+00
1.988370128836778924e+06 2.130050898246897850e+05 8.329999999999999627e-01 8.225416416002745207e-05 6.047637782024747470e-05 1.362453913380512471e-02 1.219717629678899629e+00 1.316977558471868148e+00
1.981888238089404767e+06 2.654701959156403318e+05 8.329999999999999627e-01 1.281307257509840304e-04 9.424669155456123445e-05 1.357684911544421169e-02 1.219822337214067298e+00 1.316739969440913205e+00
1.974307394184407778e+06 3.173494176093304995e+05 8.329999999999999627e-01 1.818014867615521974e-04 1.338037095538434894e-04 1.351018180029706084e-02 1.219968726101631873e+00 1.316407872414330216e+00
1.965682666395160602e+06 3.685265672495299950e+05 8.329999999999999627e-01 2.428725706264765055e-04 1.788894646542879205e-04 1.342426020665721254e-02 1.220157419675670374e+00 1.315979923667573992e+00
1.956061394218982896e+06 4.188886141997422092e+05 8.329999999999999627e-01 3.110011779761305637e-04 2.292887821974987929e-04 1.331929976876966570e-02 1.220387964315954088e+00 1.315457242670429183e+00
1.945489942040350288e+06 4.683262503780450206e+05 8.329999999999999627e-01 3.858487556930110390e-04 2.847936393122357281e-04 1.319578376772789774e-02 1.220659321874066006e+00 1.314842291810572883e+00
1.934016352296644822e+06 5.167347918467049021e+05 8.329999999999999627e-01 4.670631117851569065e-04 3.451887381018082048e-04 1.305436797147074834e-02 1.220970078341604648e+00 1.314138399668730806e+00
1.921691306243164698e+06 5.640150241148248315e+05 8.329999999999999627e-01 5.542724651706045858e-04 4.102458158874785089e-04 1.289583750465816969e-02 1.221318537778204094e+00 1.313349544344621922e+00
