# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
1186591.51587,524838.55510,-74161.96974,   0.00000,   0.00000,  -0.00000,1860142.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-472780448.00000,   0.00000
2333249.66342,1032562.80948,-142619.17258,   0.00001,   0.00000,  -0.00000,2888410.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-471752160.00000,   0.00000
3459941.12681,1531729.91352,-216781.14232,   0.00001,   0.00000,  -0.00000,3909100.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-470731488.00000,   0.00000
4575223.05639,2042306.55135,-285238.34516,   0.00002,   0.00000,  -0.00000,4727497.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-469913088.00000,   0.00000
5670538.30180,2544326.03884,-359400.31490,   0.00002,   0.00000,  -0.00000,5523112.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-469117472.00000,   0.00000
6717363.02855,3009264.54145,-427857.51774,   0.00002,   0.00000,  -0.00001,6355908.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-468284672.00000,   0.00000
7752778.22148,3485612.57787,-502019.48748,   0.00003,   0.00000,  -0.00001,7250933.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-467389648.00000,   0.00000
8756817.19645,3964812.99774,-570476.69032,   0.00003,   0.00000,  -0.00001,8157227.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-466483344.00000,   0.00000
