# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
3285018.20612,3443332.33654,580485.14486,   0.00001,   0.00001,   0.00001,4196260.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-470444320.00000,   0.00000
6539253.10911,6873471.82888,1152175.06025,   0.00002,   0.00002,   0.00001,7041146.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-467599424.00000,   0.00000
9793488.01210,10303611.32122,1723864.97564,   0.00002,   0.00003,   0.00002,10761101.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-463879472.00000,   0.00000
13065313.37403,13716160.35462,2295554.89103,   0.00003,   0.00004,   0.00003,14502186.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-460138384.00000,   0.00000
16293162.58861,17084733.24069,2867244.80642,   0.00004,   0.00005,   0.00004,18034108.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-456606464.00000,   0.00000
19564987.95054,20497282.27409,3438934.72181,   0.00005,   0.00006,   0.00004,21527216.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-453113360.00000,   0.00000
22792837.16512,23865855.16016,4010624.63720,   0.00006,   0.00006,   0.00005,24976654.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-449663920.00000,   0.00000
26020686.37971,27234428.04623,4573519.32312,   0.00007,   0.00007,   0.00006,28439330.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-446201248.00000,   0.00000
