# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
1342424.46168,-2327690.12163,-123158.20749,   0.00001,  -0.00001,  -0.00000,4487209.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-470153376.00000,   0.00000
2672533.10262,-4643064.42252,-246316.41499,   0.00002,  -0.00003,  -0.00000,7909805.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-466730768.00000,   0.00000
4002641.74355,-6958438.72340,-375632.53286,   0.00003,  -0.00004,  -0.00000,10108057.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-464532512.00000,   0.00000
5332750.38448,-9273813.02429,-511106.56110,   0.00004,  -0.00005,  -0.00001,12629411.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-462011168.00000,   0.00000
6672095.89098,-11567634.63886,-646580.58934,   0.00005,  -0.00007,  -0.00001,15505378.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-459135200.00000,   0.00000
8011441.39748,-13861456.25343,-782054.61759,   0.00006,  -0.00008,  -0.00001,18587772.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-456052800.00000,   0.00000
9350786.90397,-16155277.86801,-929844.46658,   0.00007,  -0.00009,  -0.00001,21762858.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-452877712.00000,   0.00000
10677816.58972,-18436783.66183,-1077634.31557,   0.00008,  -0.00010,  -0.00001,24941462.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-449699120.00000,   0.00000
