# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
4821801.33976,2660741.50731,-852248.94801,   0.00002,   0.00000,  -0.00001,5218308.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-469422272.00000,   0.00000
9651212.04512,5339238.20104,-1699424.98561,   0.00003,   0.00001,  -0.00002,9528218.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-465112352.00000,   0.00000
14455258.19846,7992370.34275,-2546601.02321,   0.00005,   0.00001,  -0.00003,13996588.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-460643984.00000,   0.00000
19249158.53099,10655648.30527,-3398849.97121,   0.00007,   0.00001,  -0.00004,18302000.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-456338576.00000,   0.00000
24025303.67710,13311316.90218,-4246026.00881,   0.00008,   0.00001,  -0.00006,22614540.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-452026032.00000,   0.00000
28783693.63679,15959376.13348,-5093202.04641,   0.00010,   0.00002,  -0.00007,26988620.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-447651952.00000,   0.00000
33542083.59649,18607435.36478,-5935305.17361,   0.00012,   0.00002,  -0.00008,31389248.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-443251328.00000,   0.00000
38282718.36977,21247885.23048,-6782481.21121,   0.00013,   0.00002,  -0.00009,35771024.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-438869552.00000,   0.00000
