# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
-1718636.45096,-139913.29552,334121.30274,  -0.00001,   0.00000,   0.00000,1317056.75000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473323520.00000,   0.00000
-3414302.06236,-281914.84919,668242.60548,  -0.00001,   0.00001,   0.00001,3193267.75000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-471447296.00000,   0.00000
-5109967.67376,-423916.40285,1006540.42450,  -0.00002,   0.00001,   0.00001,4814461.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-469826112.00000,   0.00000
-6791015.47817,-559653.18209,1340661.72724,  -0.00003,   0.00001,   0.00002,6431178.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-468209392.00000,   0.00000
-8449092.44301,-697478.21947,1678959.54626,  -0.00004,   0.00001,   0.00002,8040292.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-466600288.00000,   0.00000
-10113434.18228,-849921.06384,2017257.36529,  -0.00004,   0.00002,   0.00003,9658439.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-464982144.00000,   0.00000
-11763158.11455,-996099.13379,2355555.18431,  -0.00005,   0.00002,   0.00003,11275415.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-463365168.00000,   0.00000
-13398264.23983,-1136012.42931,2693853.00333,  -0.00006,   0.00002,   0.00004,12895561.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-461745008.00000,   0.00000
