# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
410199.95263,1733425.60627,-95272.24706,  -0.00000,   0.00001,  -0.00000,2689376.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-471951200.00000,   0.00000
820399.90526,3466851.21254,-185251.59151,  -0.00000,   0.00001,  -0.00000,4357817.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-470282752.00000,   0.00000
1230599.85789,5200276.81881,-280523.83857,  -0.00000,   0.00002,  -0.00000,5811310.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-468829280.00000,   0.00000
1643446.26182,6904591.46070,-370503.18302,  -0.00001,   0.00003,  -0.00000,7215092.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-467425488.00000,   0.00000
2064232.01968,8627431.26174,-465775.43008,  -0.00001,   0.00004,  -0.00001,8665322.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-465975248.00000,   0.00000
2469139.06969,10313220.74447,-555754.77453,  -0.00001,   0.00004,  -0.00001,10113189.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-464527392.00000,   0.00000
2874046.11971,11999010.22721,-645734.11898,  -0.00001,   0.00005,  -0.00001,11591362.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-463049216.00000,   0.00000
3297478.32887,13692739.06387,-741006.36604,  -0.00001,   0.00006,  -0.00001,13101059.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-461539520.00000,   0.00000
