# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
-2742756.02743,-3858914.80782,-605720.31375,  -0.00000,  -0.00001,  -0.00001,3595909.28236,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-471044226.54417,   0.00000
-5475303.28552,-7694009.15386,-1211440.62750,  -0.00001,  -0.00002,  -0.00002,7173036.63110,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-467467099.19543,   0.00000
-8197641.77428,-11505283.03813,-1817160.94125,  -0.00001,  -0.00004,  -0.00002,10731397.91676,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-463908737.90977,   0.00000
-10943800.72482,-15326765.69173,-2429687.10122,  -0.00002,  -0.00005,  -0.00003,14305718.77317,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-460334417.05336,   0.00000
-13693362.59847,-19110816.19111,-3035407.41497,  -0.00003,  -0.00006,  -0.00004,17851645.12336,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-456788490.70317,   0.00000
-16442924.47212,-22894866.69049,-3647933.57494,  -0.00003,  -0.00007,  -0.00005,21401130.35056,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-453239005.47597,   0.00000
-19206098.03821,-26665305.49742,-4253653.88869,  -0.00004,  -0.00008,  -0.00006,24941069.77931,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-449699066.04722,   0.00000
-21959062.83498,-30411923.84258,-4866180.04866,  -0.00004,  -0.00010,  -0.00006,28465897.67781,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-446174238.14872,   0.00000
-24725639.32418,-34144930.49530,-5478706.20863,  -0.00005,  -0.00011,  -0.00007,31984792.44115,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-442655343.38538,   0.00000
-27482007.04405,-37854116.68623,-6091232.36860,  -0.00005,  -0.00012,  -0.00008,35485167.25551,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-439154968.57101,   0.00000
-30251986.45637,-41549691.18473,-6703758.52858,  -0.00006,  -0.00013,  -0.00009,38979737.84345,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-435660397.98308,   0.00000
-33021965.86868,-45245265.68322,-7316284.68855,  -0.00006,  -0.00014,  -0.00010,42474471.65532,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-432165664.17121,   0.00000
-35795348.20411,-48903408.02750,-7928810.84852,  -0.00007,  -0.00015,  -0.00010,45944900.42932,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-428695235.39721,   0.00000
-38592551.00131,-52571759.14110,-8541337.00849,  -0.00007,  -0.00016,  -0.00011,49428330.63917,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-425211805.18736,   0.00000
-41355724.56740,-56206081.02360,-9160669.01468,  -0.00008,  -0.00018,  -0.00012,52884117.30464,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-421756018.52189,   0.00000
-44156330.28772,-59836999.98299,-9773195.17466,  -0.00008,  -0.00019,  -0.00013,56343693.24541,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-418296442.58112,   0.00000
-46946727.23870,-63444098.48059,-10392527.18085,  -0.00009,  -0.00020,  -0.00014,59788543.28197,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-414851592.54455,   0.00000
-49726915.42035,-67027376.51643,-11005053.34082,  -0.00010,  -0.00021,  -0.00014,63211583.06924,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-411428552.75728,   0.00000
-52520715.29444,-70597042.85982,-11617579.50079,  -0.00010,  -0.00022,  -0.00015,66629312.37295,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-408010823.45358,   0.00000
-55328126.86097,-74153097.51076,-12236911.50698,  -0.00011,  -0.00023,  -0.00016,70045396.10755,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-404594739.71897,   0.00000
