# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
1061711.64463,3323019.56307,452261.58369,  -0.00000,   0.00001,   0.00001,4215222.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-470425344.00000,   0.00000
2151000.21510,6673616.05198,910038.55254,  -0.00000,   0.00003,   0.00001,6813654.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-467826928.00000,   0.00000
3232015.70782,10004908.69280,1362300.13623,  -0.00000,   0.00004,   0.00002,9754965.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-464885616.00000,   0.00000
4351638.89670,13352747.48912,1809046.33475,  -0.00001,   0.00005,   0.00002,12890738.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-461749840.00000,   0.00000
5490565.93367,16708859.36319,2261307.91844,  -0.00001,   0.00007,   0.00003,15986015.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-458654560.00000,   0.00000
6629492.97064,20064971.23727,2713569.50213,  -0.00001,   0.00008,   0.00004,19017070.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-455623504.00000,   0.00000
7807027.70378,23437629.26684,3160315.70065,  -0.00001,   0.00009,   0.00004,22034136.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-452606432.00000,   0.00000
8995593.20725,26799256.52608,3607061.89917,  -0.00001,   0.00010,   0.00005,25048092.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-449592480.00000,   0.00000
