# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
-2226361.94284,-2944682.80292,-359160.43004,  -0.00000,  -0.00001,  -0.00000,2731099.27094,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-471909036.55559,   0.00000
-4452723.88568,-5889365.60585,-713993.62598,  -0.00001,  -0.00002,  -0.00001,5460496.22568,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-469179639.60085,   0.00000
-6657449.65804,-8812412.23828,-1068826.82193,  -0.00001,  -0.00003,  -0.00001,8169407.98898,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-466470727.83755,   0.00000
-8862175.43040,-11735458.87072,-1419332.78377,  -0.00002,  -0.00004,  -0.00002,10876624.92000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-463763510.90653,   0.00000
-11045265.03227,-14636869.33268,-1765511.51152,  -0.00002,  -0.00005,  -0.00002,13561667.12336,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-461078468.70317,   0.00000
-13228354.63414,-17538279.79463,-2107363.00518,  -0.00003,  -0.00005,  -0.00003,16245029.27643,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-458395106.55010,   0.00000
-15411444.23602,-20439690.25658,-2449214.49883,  -0.00003,  -0.00006,  -0.00003,18928400.87324,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-455711734.95329,   0.00000
-17572897.66740,-23319464.54805,-2782411.52429,  -0.00003,  -0.00007,  -0.00004,21587937.29718,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-453052198.52935,   0.00000
-19719205.77945,-26192747.98838,-3115608.54975,  -0.00004,  -0.00008,  -0.00004,24238976.59037,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-450401159.23616,   0.00000
-21859023.04036,-29050886.10936,-3448805.57521,  -0.00004,  -0.00009,  -0.00004,26878051.69460,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-447762084.13193,   0.00000
-23998840.30126,-31909024.23035,-3773348.13247,  -0.00005,  -0.00010,  -0.00005,29513811.25595,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-445126324.57058,   0.00000
-26123512.24283,-34760671.50019,-4097890.68974,  -0.00005,  -0.00011,  -0.00005,32141086.97378,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-442499048.85275,   0.00000
-28226548.01391,-37590682.59954,-4418106.01291,  -0.00006,  -0.00012,  -0.00006,34746240.17118,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-439893895.65535,   0.00000
-30344729.10433,-40427184.55004,-4733994.10198,  -0.00006,  -0.00012,  -0.00006,37358265.10840,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-437281870.71813,   0.00000
-32426128.70492,-43235559.47891,-5045554.95695,  -0.00006,  -0.00013,  -0.00007,39939685.58240,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-434700450.24413,   0.00000
-34507528.30552,-46043934.40779,-5357115.81193,  -0.00007,  -0.00014,  -0.00007,42521137.15669,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-432118998.66984,   0.00000
-36588927.90612,-48852309.33666,-5660022.19871,  -0.00007,  -0.00015,  -0.00007,45099353.67992,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-429540782.14661,   0.00000
-38648691.33623,-51639048.09504,-5962928.58549,  -0.00008,  -0.00016,  -0.00008,47657114.38380,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-426983021.44273,   0.00000
-40701963.91519,-54410641.53409,-6261507.73818,  -0.00008,  -0.00017,  -0.00008,50201267.39284,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-424438868.43369,   0.00000
-42746582.02597,-57190889.44133,-6560086.89086,  -0.00008,  -0.00018,  -0.00009,52749002.67681,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-421891133.14972,   0.00000
