# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
1383730.14111,-1355081.48394,63027.04576,   0.00001,  -0.00001,   0.00000,2374434.51163,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-472265701.31490,   0.00000
2796108.93938,-2681514.31072,126054.09153,   0.00002,  -0.00002,   0.00000,4749128.26072,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-469891007.56581,   0.00000
4188433.67764,-4016541.73465,183351.40586,   0.00003,  -0.00003,   0.00000,7113329.46385,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-467526806.36268,   0.00000
5580758.41590,-5351569.15857,246378.45163,   0.00004,  -0.00004,   0.00000,9477978.61360,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-465162157.21293,   0.00000
6981677.75131,-6666542.52249,309405.49739,   0.00004,  -0.00004,   0.00000,11832897.37639,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-462807238.45014,   0.00000
8391191.68387,-7961461.82638,366702.81172,   0.00005,  -0.00005,   0.00000,14177677.43369,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-460462458.39284,   0.00000
9800705.61643,-9256381.13028,424000.12605,   0.00006,  -0.00006,   0.00001,16522494.27480,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-458117641.55173,   0.00000
11210219.54898,-10551300.43417,487027.17182,   0.00007,  -0.00007,   0.00001,18867775.27906,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-455772360.54747,   0.00000
12628328.07869,-11826165.67805,544324.48615,   0.00008,  -0.00008,   0.00001,21202981.68282,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-453437154.14371,   0.00000
14034977.14553,-13089571.45906,601621.80048,   0.00009,  -0.00009,   0.00001,23518400.18162,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-451121735.64491,   0.00000
15453085.67524,-14364436.70294,658919.11481,   0.00010,  -0.00010,   0.00001,25853670.78242,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-448786465.04411,   0.00000
16868329.33923,-15607788.42394,716216.42915,   0.00011,  -0.00010,   0.00001,28159542.03277,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-446480593.79376,   0.00000
18274978.40607,-16871194.20495,773513.74348,   0.00012,  -0.00011,   0.00001,30475034.20766,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-444165101.61887,   0.00000
19718870.72723,-18085897.26878,825081.32638,   0.00012,  -0.00012,   0.00001,32781233.81736,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-441858902.00917,   0.00000
21114060.33121,-19337843.58693,882378.64071,   0.00013,  -0.00013,   0.00001,35076942.72067,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-439563193.10586,   0.00000
22546493.18950,-20541087.18789,933946.22361,   0.00014,  -0.00014,   0.00001,37363442.92269,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-437276692.90384,   0.00000
23970331.45064,-21764384.84887,991243.53794,   0.00015,  -0.00015,   0.00001,39659960.25722,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-434980175.56931,   0.00000
25402764.30893,-22967628.44984,1042811.12084,   0.00016,  -0.00015,   0.00001,41946585.18273,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-432693550.64380,   0.00000
26823737.70435,-24159412.58793,1094378.70373,   0.00017,  -0.00016,   0.00001,44213446.61545,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-430426689.21108,   0.00000
28244711.09978,-25351196.72603,1145946.28663,   0.00018,  -0.00017,   0.00001,46480358.07508,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-428159777.75145,   0.00000
29685738.55522,-26534386.26698,1197513.86953,   0.00019,  -0.00018,   0.00002,48757683.49688,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-425882452.32965,   0.00000
31115306.54779,-27706116.34506,1249081.45243,   0.00020,  -0.00019,   0.00002,51015253.61340,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-423624882.21313,   0.00000
