# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
1342424.46168,-2327690.12163,-123158.20749,   0.00001,  -0.00001,  -0.00000,3223429.34286,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-471416706.48367,   0.00000
2672533.10262,-4643064.42252,-246316.41499,   0.00002,  -0.00003,  -0.00000,6425825.94784,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-468214309.87869,   0.00000
4002641.74355,-6958438.72340,-375632.53286,   0.00003,  -0.00004,  -0.00000,9628938.00468,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-465011197.82185,   0.00000
5332750.38448,-9273813.02429,-511106.56110,   0.00004,  -0.00005,  -0.00001,12832788.25486,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-461807347.57167,   0.00000
6672095.89098,-11567634.63886,-646580.58934,   0.00005,  -0.00007,  -0.00001,16023782.37603,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-458616353.45050,   0.00000
8011441.39748,-13861456.25343,-782054.61759,   0.00006,  -0.00008,  -0.00001,19214792.10046,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-455425343.72607,   0.00000
9350786.90397,-16155277.86801,-929844.46658,   0.00007,  -0.00009,  -0.00001,22407333.88046,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-452232801.94607,   0.00000
10677816.58972,-18436783.66183,-1077634.31557,   0.00008,  -0.00010,  -0.00001,25578882.70657,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-449061253.11996,   0.00000
12035635.82734,-20687499.90378,-1225424.16456,   0.00010,  -0.00012,  -0.00002,28745806.48037,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-445894329.34616,   0.00000
13362665.51308,-22969005.69761,-1379371.92393,   0.00011,  -0.00013,  -0.00002,31918195.33385,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-442721940.49267,   0.00000
14698932.06439,-25228958.80512,-1533319.68330,   0.00012,  -0.00014,  -0.00002,35077783.93099,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-439562351.89554,   0.00000
16044435.48126,-27467359.22632,-1693425.35304,   0.00013,  -0.00016,  -0.00002,38225398.28447,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-436414737.54206,   0.00000
17389938.89813,-29705759.64752,-1859688.93316,   0.00014,  -0.00017,  -0.00002,41373890.37901,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-433266245.44752,   0.00000
18735442.31500,-31944160.06872,-2025952.51327,   0.00015,  -0.00018,  -0.00003,44522439.06461,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-430117696.76192,   0.00000
20068629.91113,-34170244.66917,-2198374.00377,   0.00016,  -0.00019,  -0.00003,47650855.88193,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-426989279.94460,   0.00000
21423370.19356,-36387092.40406,-2370795.49426,   0.00017,  -0.00021,  -0.00003,50787571.79408,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-423852564.03245,   0.00000
22756557.78968,-38613177.00452,-2549374.89512,   0.00018,  -0.00022,  -0.00003,53916966.64160,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-420723169.18493,   0.00000
24098982.25136,-40817708.91866,-2734112.20636,   0.00019,  -0.00023,  -0.00004,57034530.40363,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-417605605.42290,   0.00000
25441406.71305,-43022240.83280,-2918849.51760,   0.00020,  -0.00025,  -0.00004,60152171.66542,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-414487964.16110,   0.00000
26793068.04029,-45205220.06062,-3103586.82885,   0.00021,  -0.00026,  -0.00004,63257123.75863,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-411383012.06790,   0.00000
28123176.68122,-47397436.15402,-3294482.05046,   0.00022,  -0.00027,  -0.00004,66354783.75940,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-408285352.06713,   0.00000
