# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
-2472271.32545,-1268480.50942,832528.22791,  -0.00001,  -0.00000,   0.00001,2182308.75000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-472458272.00000,   0.00000
-4936104.86481,-2517272.85128,1665056.45582,  -0.00002,  -0.00000,   0.00002,4756611.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-469883968.00000,   0.00000
-7399938.40416,-3766065.19315,2497584.68373,  -0.00003,  -0.00000,   0.00003,7345136.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-467295440.00000,   0.00000
-9852521.56206,-5026107.91647,3324487.72091,  -0.00004,  -0.00000,   0.00004,9885823.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-464754752.00000,   0.00000
-12296666.93386,-6266462.47224,4157015.94882,  -0.00004,  -0.00000,   0.00005,12455609.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-462184960.00000,   0.00000
-14721124.13812,-7498379.24192,4983918.98600,  -0.00005,  -0.00001,   0.00006,15034857.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-459605712.00000,   0.00000
-17145581.34237,-8730296.01160,5810822.02318,  -0.00006,  -0.00001,   0.00008,17618982.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-457021600.00000,   0.00000
-19541912.59297,-9934086.82763,6637725.06037,  -0.00007,  -0.00001,   0.00009,20178872.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-454461696.00000,   0.00000
