# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
-380774.81109,249473.15209,-551466.96779,  -0.00000,   0.00000,  -0.00001,755920.68750,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473884640.00000,   0.00000
-761549.62218,498946.30419,-1109499.01852,  -0.00000,   0.00000,  -0.00001,1712325.12500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-472928256.00000,   0.00000
-1142324.43327,748419.45628,-1667531.06926,  -0.00001,   0.00001,  -0.00002,3242517.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-471398048.00000,   0.00000
-1532946.86878,974914.81805,-2225563.11999,  -0.00001,   0.00001,  -0.00003,4668146.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-469972416.00000,   0.00000
-1900591.51397,1211257.80424,-2790160.25367,  -0.00001,   0.00001,  -0.00004,5857451.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-468783136.00000,   0.00000
-2291213.94949,1437753.16601,-3354757.38736,  -0.00001,   0.00001,  -0.00004,6891726.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-467748848.00000,   0.00000
-2658858.59468,1674096.15220,-3919354.52104,  -0.00002,   0.00001,  -0.00005,7881310.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-466759264.00000,   0.00000
-3049481.03019,1900591.51397,-4490516.73768,  -0.00002,   0.00001,  -0.00006,8913320.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-465727264.00000,   0.00000
