# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
-1750646.08725,-1552950.54100,109252.80188,  -0.00000,  -0.00000,   0.00000,1671394.28067,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-472968741.54586,   0.00000
-3483083.37419,-3098097.31043,218505.60376,  -0.00001,  -0.00001,   0.00000,3329020.81692,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-471311115.00961,   0.00000
-5215520.66114,-4643244.07986,322555.89126,  -0.00001,  -0.00001,   0.00000,4985635.64931,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-469654500.17722,   0.00000
-6921945.37620,-6162378.27742,431808.69314,  -0.00002,  -0.00001,   0.00001,6617549.71600,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-468022586.11053,   0.00000
-8654382.66314,-7707525.04686,535858.98065,  -0.00002,  -0.00002,   0.00001,8274167.33141,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-466365968.49512,   0.00000
-10360807.37821,-9226659.24441,645111.78252,  -0.00003,  -0.00002,   0.00001,9906080.90018,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-464734054.92635,   0.00000
-12049023.29296,-10737989.67041,749162.07003,  -0.00003,  -0.00003,   0.00001,11523229.93953,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-463116905.88700,   0.00000
-13737239.20771,-12249320.09640,853212.35753,  -0.00004,  -0.00003,   0.00001,13140382.70215,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-461499753.12438,   0.00000
-15417651.35090,-13742441.72208,957262.64504,  -0.00004,  -0.00003,   0.00001,14745560.61316,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-459894575.21337,   0.00000
-17098063.49409,-15235563.34777,1061312.93254,  -0.00005,  -0.00004,   0.00001,16350739.79078,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-458289396.03575,   0.00000
-18760266.83696,-16720881.20188,1165363.22004,  -0.00005,  -0.00004,   0.00002,17942171.02719,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-456697964.79934,   0.00000
-20422470.17984,-18206199.05600,1269413.50755,  -0.00006,  -0.00004,   0.00002,19533603.02052,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-455106532.80601,   0.00000
-22066464.72240,-19683713.13856,1373463.79505,  -0.00006,  -0.00005,   0.00002,21111292.59608,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-453528843.23045,   0.00000
-23702655.49340,-21143018.42080,1477514.08256,  -0.00007,  -0.00005,   0.00002,22677005.25322,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-451963130.57331,   0.00000
-25338846.26440,-22602323.70305,1581564.37006,  -0.00007,  -0.00005,   0.00002,24242718.47026,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-450397417.35627,   0.00000
-26956828.23509,-24053825.21373,1685614.65756,  -0.00008,  -0.00006,   0.00002,25794692.31347,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-448845443.51306,   0.00000
-28567006.43421,-25487117.92409,1789664.94507,  -0.00008,  -0.00006,   0.00002,27334686.33090,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-447305449.49563,   0.00000
-30184988.40490,-26938619.43477,1888512.71820,  -0.00008,  -0.00006,   0.00002,28885641.20170,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-445754494.62483,   0.00000
-31776957.80371,-28364108.37358,1992563.00570,  -0.00009,  -0.00007,   0.00003,30411897.97028,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-444228237.85625,   0.00000
-33368927.20252,-29789597.31238,2096613.29320,  -0.00009,  -0.00007,   0.00003,31938156.93611,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-442701978.89042,   0.00000
-34953092.82976,-31196877.45087,2195461.06633,  -0.00010,  -0.00007,   0.00003,33451407.37537,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-441188728.45116,   0.00000
