# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
-1133725.58335,725910.62531,-925739.95475,  -0.00001,   0.00001,  -0.00001,2281720.13466,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-472358415.69187,   0.00000
-2253177.64318,1457938.47500,-1843323.61035,  -0.00001,   0.00001,  -0.00002,4547627.32234,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-470092508.50418,   0.00000
-3401176.75006,2177731.87594,-2760907.26594,  -0.00002,   0.00002,  -0.00004,6825334.95341,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-467814800.87312,   0.00000
-4547136.78216,2875095.45419,-3670334.62237,  -0.00003,   0.00002,  -0.00005,9079105.01089,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-465561030.81564,   0.00000
-5701253.11341,3580615.33160,-4579761.97880,  -0.00003,   0.00003,  -0.00006,11342916.15374,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-463297219.67279,   0.00000
-6853330.36988,4263705.38632,-5481033.03607,  -0.00004,   0.00003,  -0.00007,13582822.67497,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-461057313.15156,   0.00000
-8013563.92550,4954951.74020,-6382304.09334,  -0.00005,   0.00004,  -0.00008,15832782.21518,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-458807353.61135,   0.00000
-9200305.45340,5611533.82264,-7275418.85145,  -0.00005,   0.00004,  -0.00009,18070913.53256,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-456569222.29397,   0.00000
-10366656.23340,6288506.65299,-8164455.45998,  -0.00006,   0.00005,  -0.00011,20302183.69913,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-454337952.12740,   0.00000
-11559514.98567,6930815.21191,-9053492.06851,  -0.00007,   0.00005,  -0.00012,22531591.25348,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-452108544.57304,   0.00000
-12752373.73794,7573123.77082,-9934372.37788,  -0.00007,   0.00006,  -0.00013,24751278.91476,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-449888856.91177,   0.00000
-13945232.49021,8215432.32973,-10811174.53767,  -0.00008,   0.00006,  -0.00014,26966153.52748,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-447673982.29905,   0.00000
-15144208.46685,8843467.36512,-11683898.54787,  -0.00009,   0.00007,  -0.00015,29172276.81041,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-445467859.01612,   0.00000
-16357457.96702,9465385.17613,-12552544.40850,  -0.00009,   0.00007,  -0.00016,31379749.85907,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-443260385.96746,   0.00000
-17576824.69156,10073029.46361,-13417112.11955,  -0.00010,   0.00008,  -0.00017,33578553.49316,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-441061582.33337,   0.00000
-18802308.64048,10666400.22756,-14277601.68101,  -0.00011,   0.00009,  -0.00019,35768723.52311,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-438871412.30342,   0.00000
-20021675.36502,11274044.51504,-15134013.09290,  -0.00011,   0.00009,  -0.00020,37958027.87776,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-436682107.94877,   0.00000
-21253276.53830,11853141.75546,-15982268.20562,  -0.00012,   0.00010,  -0.00021,40129982.85141,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-434510152.97512,   0.00000
-22499151.23512,12426121.77151,-16830523.31835,  -0.00013,   0.00010,  -0.00022,42308356.70518,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-432331779.12135,   0.00000
-23730752.40840,13005219.01193,-17674700.28149,  -0.00013,   0.00011,  -0.00023,44475758.04782,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-430164377.77871,   0.00000
-24982744.32959,13563925.50444,-18510720.94548,  -0.00014,   0.00011,  -0.00024,46636059.46127,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-428004076.36526,   0.00000
