# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
-1133725.58335,725910.62531,-925739.95475,  -0.00001,   0.00001,  -0.00001,1482884.87500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473157696.00000,   0.00000
-2253177.64318,1457938.47500,-1843323.61035,  -0.00001,   0.00001,  -0.00002,4389211.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-470251360.00000,   0.00000
-3401176.75006,2177731.87594,-2760907.26594,  -0.00002,   0.00002,  -0.00004,6800340.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-467840240.00000,   0.00000
-4547136.78216,2875095.45419,-3670334.62237,  -0.00003,   0.00002,  -0.00005,9034843.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-465605728.00000,   0.00000
-5701253.11341,3580615.33160,-4579761.97880,  -0.00003,   0.00003,  -0.00006,11310443.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-463330128.00000,   0.00000
-6853330.36988,4263705.38632,-5481033.03607,  -0.00004,   0.00003,  -0.00007,13561625.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-461078944.00000,   0.00000
-8013563.92550,4954951.74020,-6382304.09334,  -0.00005,   0.00004,  -0.00008,15811014.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-458829568.00000,   0.00000
-9200305.45340,5611533.82264,-7275418.85145,  -0.00005,   0.00004,  -0.00009,18055004.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-456585568.00000,   0.00000
