# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
173267.38980,4413222.34028,264997.18440,  -0.00001,   0.00002,   0.00000,5442908.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-469197664.00000,   0.00000
331246.48051,8790771.98266,529994.36881,  -0.00002,   0.00004,   0.00001,9342262.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-465298320.00000,   0.00000
453552.87331,13153033.32594,794991.55321,  -0.00002,   0.00006,   0.00001,13727860.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-460912720.00000,   0.00000
545282.66791,17443949.27342,1039604.33882,  -0.00003,   0.00008,   0.00001,18094864.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-456545712.00000,   0.00000
637012.46251,21734865.22090,1284217.12442,  -0.00004,   0.00010,   0.00002,22331334.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-452309248.00000,   0.00000
677781.26011,25974820.17138,1528829.91003,  -0.00005,   0.00012,   0.00002,26475484.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-448165088.00000,   0.00000
703261.75861,30179102.42396,1763250.49623,  -0.00006,   0.00014,   0.00002,30587202.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-444053376.00000,   0.00000
677781.26011,34332423.67954,1987478.88304,  -0.00006,   0.00015,   0.00003,34693768.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-439946816.00000,   0.00000
