# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
-633847.45405,1771522.37156,-595924.95680,  -0.00001,   0.00001,  -0.00001,2393388.54250,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-472246747.28403,   0.00000
-1256859.90888,3532209.74391,-1191849.91359,  -0.00001,   0.00002,  -0.00002,4770452.17689,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-469869683.64964,   0.00000
-1850076.11587,5290188.36646,-1787774.87039,  -0.00002,   0.00003,  -0.00002,7126327.43382,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-467513808.39271,   0.00000
-2443292.32286,7048166.98901,-2378282.32757,  -0.00002,   0.00004,  -0.00003,9478172.19000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-465161963.63653,   0.00000
-3006712.28201,8803436.86175,-2974207.28437,  -0.00003,   0.00005,  -0.00004,11813041.43618,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-462827094.39035,   0.00000
-3578258.49058,10539745.48587,-3559297.24195,  -0.00004,   0.00005,  -0.00005,14128336.52895,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-460511799.29758,   0.00000
-4120008.45130,12273345.36018,-4149804.69914,  -0.00004,   0.00006,  -0.00005,16426758.64867,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-458213377.17786,   0.00000
-4642797.16340,14015071.48391,-4734894.65672,  -0.00005,   0.00007,  -0.00006,18716426.22299,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-455923709.60354,   0.00000
-5154750.87628,15745962.60842,-5314567.11469,  -0.00005,   0.00008,  -0.00007,20985880.50251,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-453654255.32402,   0.00000
-5655869.58995,17466018.73371,-5899657.07227,  -0.00006,   0.00009,  -0.00008,23243365.85243,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-451396769.97410,   0.00000
-6127192.05578,19183366.10921,-6479329.53025,  -0.00007,   0.00010,  -0.00008,25476053.84828,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-449164081.97825,   0.00000
-6598514.52161,20900713.48470,-7059001.98822,  -0.00007,   0.00011,  -0.00009,27708886.78224,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-446931249.04428,   0.00000
-7040040.73960,22615352.11039,-7633256.94659,  -0.00008,   0.00012,  -0.00010,29917037.95043,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-444723097.87610,   0.00000
-7489693.20700,24311029.48745,-8207511.90496,  -0.00008,   0.00013,  -0.00011,32113759.76886,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-442526376.05767,   0.00000
-7909549.42656,26003998.11471,-8781766.86332,  -0.00009,   0.00013,  -0.00011,34290043.54303,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-440350092.28350,   0.00000
-8310444.39749,27705092.99138,-9350604.32208,  -0.00009,   0.00014,  -0.00012,36457903.15064,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-438182232.67589,   0.00000
-8700504.36921,29395352.86884,-9919441.78084,  -0.00010,   0.00015,  -0.00013,38609919.94763,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-436030215.87890,   0.00000
-9071603.09231,31093738.99570,-10488279.23960,  -0.00010,   0.00016,  -0.00014,40757780.24434,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-433882355.58219,   0.00000
-9439993.06560,32762328.87473,-11057116.69836,  -0.00011,   0.00017,  -0.00014,42878191.52913,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-431761944.29740,   0.00000
-9789421.79027,34439045.00317,-11620536.65751,  -0.00011,   0.00018,  -0.00015,44990327.33748,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-429649808.48905,   0.00000
-10109054.26709,36113052.38180,-12183956.61666,  -0.00012,   0.00018,  -0.00016,47082488.60558,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-427557647.22095,   0.00000
