# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
-2474729.47671,-3549469.13517,548682.87827,  -0.00000,  -0.00001,   0.00001,2950394.25000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-471690176.00000,   0.00000
-4960772.00247,-7087625.22131,1097365.75653,  -0.00001,  -0.00002,   0.00001,6010905.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-468629664.00000,   0.00000
-7429844.95466,-10586185.63582,1640392.11028,  -0.00001,  -0.00003,   0.00002,9418810.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-465221760.00000,   0.00000
-9898917.90686,-14084746.05033,2183418.46403,  -0.00002,  -0.00004,   0.00003,12751863.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-461888720.00000,   0.00000
-12351021.28550,-17543710.79321,2720788.29326,  -0.00002,  -0.00006,   0.00004,15926166.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-458714416.00000,   0.00000
-14822922.49996,-21011160.32287,3252501.59797,  -0.00003,  -0.00007,   0.00004,19097292.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-455543280.00000,   0.00000
-17277854.14086,-24439014.18091,3778558.37816,  -0.00003,  -0.00008,   0.00005,22273944.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-452366624.00000,   0.00000
-19724300.99498,-27847070.20313,4304615.15835,  -0.00004,  -0.00009,   0.00006,25471268.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-449169312.00000,   0.00000
