# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
-45274467.50359,-43830949.13986,-7137986.02653,  -0.00012,  -0.00011,  -0.00009,46253207.03795,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-428386928.78858,   0.00000
-46656954.76003,-45075453.02330,-7323732.87480,  -0.00012,  -0.00011,  -0.00010,47607727.41797,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-427032408.40856,   0.00000
-48020867.33164,-46311996.32752,-7504172.67027,  -0.00013,  -0.00012,  -0.00010,48946913.01820,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-425693222.80833,   0.00000
-49376819.32404,-47529964.94692,-7679305.41293,  -0.00013,  -0.00012,  -0.00010,50271309.48789,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-424368826.33864,   0.00000
-50743385.42206,-48737319.46070,-7854438.15559,  -0.00014,  -0.00012,  -0.00010,51596487.11582,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-423043648.71071,   0.00000
-52091376.83525,-49936713.39527,-8029570.89825,  -0.00014,  -0.00013,  -0.00010,52908758.78676,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-421731377.03977,   0.00000
-53431407.66922,-51117532.64501,-8199396.58810,  -0.00014,  -0.00013,  -0.00011,54206328.56646,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-420433807.26007,   0.00000
-54771438.50320,-52298351.89475,-8369222.27795,  -0.00015,  -0.00013,  -0.00011,55504087.83691,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-419136047.98962,   0.00000
-56103508.75796,-53460596.45967,-8533740.91499,  -0.00015,  -0.00013,  -0.00011,56787201.27907,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-417852934.54746,   0.00000
-57435579.01273,-54622841.02458,-8698259.55203,  -0.00015,  -0.00014,  -0.00011,58070518.80482,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-416569617.02171,   0.00000
-58741114.00345,-55758550.32546,-8857471.13627,  -0.00016,  -0.00014,  -0.00012,59326043.45663,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-415314092.36990,   0.00000
-60065223.67901,-56902220.20554,-9016682.72050,  -0.00016,  -0.00014,  -0.00012,60594974.02671,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-414045161.79982,   0.00000
-61362798.09052,-58019354.82159,-9170587.25193,  -0.00017,  -0.00014,  -0.00012,61836134.90337,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-412804000.92316,   0.00000
-62652411.92282,-59117914.75281,-9324491.78336,  -0.00017,  -0.00015,  -0.00012,63065133.46065,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-411575002.36588,   0.00000
-63960600.43995,-60224435.26324,-9478396.31478,  -0.00017,  -0.00015,  -0.00012,64307619.77342,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-410332516.05311,   0.00000
-65242253.69305,-61304420.50964,-9626993.79340,  -0.00018,  -0.00015,  -0.00013,65522378.72719,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-409117757.09934,   0.00000
-66505332.26131,-62376445.17682,-9775591.27202,  -0.00018,  -0.00015,  -0.00013,66724062.18504,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-407916073.64149,   0.00000
-67779024.93519,-63437855.73838,-9918881.69783,  -0.00018,  -0.00016,  -0.00013,67924622.91635,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-406715512.91018,   0.00000
-69052717.60907,-64499266.29995,-10062172.12364,  -0.00019,  -0.00016,  -0.00013,69125432.83166,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-405514702.99487,   0.00000
-70299875.01891,-65534141.59748,-10205462.54946,  -0.00019,  -0.00016,  -0.00013,70300843.35456,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-404339292.47196,   0.00000
